Course,Area of Interest,Fine Arts,Creativity,Communication,Empathy,English,Sociology,Memory,Computer Science,Mathematics,Statistics,Accountancy,Business Studies,Economics,Psychology,Hindi,Geography,Biology,Chemistry,Logical Reasoning,Critical Thinking,Numerical Aptitude
Diploma in Digital Marketing,Marketing & Online Branding,47,89,95,51,97.0,79,40,81,50,56,53,69,40,58,55,58,52,51,51,65,51
Diploma in Interior Designing,Interior Design & Architecture,97,99,92,50,69.0,71,46,58,53,55,47,49,55,53,47,55,59,47,60,100,55
Diploma in Paramedical Sciences,Healthcare & Allied Services,41,54,72,98,,71,95,47,59,56,46,50,53,51,50,43,84,83,54,67,52
Diploma in Journalism & Mass Communication,Media & Communication,40,65,98,58,95.0,81,46,53,60,52,56,54,43,77,58,46,41,46,67,80,58
Diploma in Fashion Designing,"Fashion, Creativity & Design",89,90,93,67,80.0,77,42,55,59,58,52,41,54,48,48,50,47,57,50,94,57
Diploma in Graphic Designing,Design & Visual Communication,88,99,63,54,71.0,51,52,83,47,59,50,42,46,40,42,51,52,48,77,91,58
Diploma in Retail Management,Retail & Sales Operations,45,49,84,90,80.0,60,76,59,45,55,44,100,52,60,40,60,56,57,57,80,42
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,52,87,93,92,67.0,69,99,47,44,41,44,60,41,45,44,48,40,58,40,55,50
Diploma in Photography,Photography & Visual Arts,96,80,97,60,72.0,62,46,79,55,47,52,42,59,42,51,55,50,56,52,82,55
Diploma in Photography,Photography & Visual Arts,80,94,88,52,66.0,79,40,63,51,43,55,45,57,51,47,41,56,52,41,90,41
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,93,92,98,83,62.0,78,69,50,60,59,60,50,54,41,50,58,58,60,45,53,57
Diploma in Digital Marketing,Marketing & Online Branding,60,93,89,48,80.0,75,49,81,43,56,58,72,60,44,60,44,55,50,57,79,58
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",100,95,66,50,62.0,60,46,91,54,43,44,55,46,54,46,52,47,43,64,86,55
Diploma in Journalism & Mass Communication,Media & Communication,41,63,98,45,98.0,90,56,43,52,59,47,59,40,67,56,52,51,56,70,86,53
Diploma in Retail Management,Retail & Sales Operations,60,41,90,81,92.0,62,62,46,44,47,52,100,58,41,40,45,44,40,58,61,58
Diploma in Travel & Tourism Management,Tourism & Service Industry,52,48,81,96,82.0,97,43,59,51,53,56,75,53,48,41,78,51,60,42,73,44
Diploma in Digital Marketing,Marketing & Online Branding,45,98,94,45,93.0,70,60,83,59,48,45,61,55,55,46,59,52,44,43,61,42
Diploma in Digital Marketing,Marketing & Online Branding,59,85,81,42,88.0,66,40,99,40,52,47,63,56,54,57,50,50,52,58,67,41
Diploma in Hotel Management,Hospitality & Service Management,40,47,87,94,96.0,87,71,49,51,54,55,68,40,67,47,60,49,41,44,69,56
Diploma in Journalism & Mass Communication,Media & Communication,49,70,97,57,95.0,85,47,50,51,48,40,41,50,74,40,59,50,60,60,97,48
Diploma in Interior Designing,Interior Design & Architecture,98,81,94,53,76.0,80,47,60,44,46,54,40,53,41,55,48,47,59,63,81,47
Diploma in Event Management,Event Planning & Management,53,89,99,77,67.0,100,60,52,54,45,47,81,57,49,41,42,45,55,41,79,40
Diploma in Retail Management,Retail & Sales Operations,58,58,80,95,95.0,71,66,41,50,42,59,92,50,47,40,45,44,50,57,75,51
Diploma in Paramedical Sciences,Healthcare & Allied Services,46,40,63,96,,70,95,51,47,45,55,42,54,40,43,49,98,87,48,69,40
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,87,90,84,83,69.0,79,74,48,52,44,48,41,49,48,45,58,46,49,40,44,42
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,56,81,90,99,79.0,63,92,60,53,44,60,66,52,59,48,50,53,55,55,57,59
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",89,91,60,56,66.0,58,59,91,43,60,42,49,47,41,51,46,41,47,64,94,43
Diploma in Journalism & Mass Communication,Media & Communication,57,63,99,57,100.0,82,48,53,40,52,47,48,47,60,40,42,45,44,77,83,55
Diploma in Retail Management,Retail & Sales Operations,49,57,81,96,89.0,61,67,56,49,58,60,81,40,50,44,58,53,60,53,69,50
Diploma in Journalism & Mass Communication,Media & Communication,55,69,99,46,98.0,90,43,48,54,48,42,45,40,60,42,47,53,56,71,97,59
Diploma in Graphic Designing,Design & Visual Communication,98,92,79,50,69.0,47,49,80,46,58,40,49,58,53,45,51,51,41,64,85,40
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",88,83,78,56,61.0,44,48,92,46,50,43,53,48,40,55,58,56,59,71,84,58
Diploma in Event Management,Event Planning & Management,55,90,94,70,78.0,82,51,42,40,45,52,96,60,49,48,56,45,54,42,65,45
Diploma in Paramedical Sciences,Healthcare & Allied Services,46,45,65,84,,64,100,55,53,42,43,50,60,57,56,43,98,89,54,80,51
Diploma in Interior Designing,Interior Design & Architecture,96,99,83,44,72.0,66,44,55,53,46,59,50,41,53,44,44,41,60,68,89,42
Diploma in Journalism & Mass Communication,Media & Communication,59,74,83,51,81.0,88,58,49,58,50,52,42,51,68,40,52,53,59,69,99,40
Diploma in Fashion Designing,"Fashion, Creativity & Design",91,83,99,72,66.0,60,53,48,48,58,58,54,56,52,47,54,54,57,41,95,56
Diploma in Photography,Photography & Visual Arts,84,80,98,56,70.0,68,47,78,43,53,60,43,46,55,55,59,49,57,45,83,44
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",92,94,70,60,75.0,47,58,82,45,56,51,47,44,44,55,55,41,45,67,80,43
Diploma in Photography,Photography & Visual Arts,81,84,87,58,74.0,68,49,78,60,46,49,41,41,60,52,44,44,50,53,88,57
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,42,40,73,44,66.0,56,52,84,42,59,54,59,57,60,56,55,42,48,80,63,91
Diploma in Paramedical Sciences,Healthcare & Allied Services,49,50,60,87,,70,93,57,42,51,53,52,45,41,58,45,96,84,45,67,43
Diploma in Paramedical Sciences,Healthcare & Allied Services,59,40,78,97,,64,98,55,56,52,52,54,45,46,54,60,83,99,54,79,56
Diploma in Event Management,Event Planning & Management,48,87,94,66,69.0,93,53,57,58,58,51,98,57,40,60,58,48,55,53,67,42
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",84,100,65,44,72.0,47,54,98,44,60,43,51,48,51,50,45,43,43,63,80,40
Diploma in Graphic Designing,Design & Visual Communication,85,91,67,48,76.0,55,48,84,40,48,49,59,50,43,41,57,56,50,75,86,56
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,43,96,90,95,71.0,66,100,52,40,53,43,63,54,58,48,49,41,52,57,45,40
Diploma in Retail Management,Retail & Sales Operations,51,45,98,83,82.0,71,77,49,50,42,43,87,47,49,50,45,51,44,53,61,47
Diploma in Travel & Tourism Management,Tourism & Service Industry,40,46,97,92,94.0,89,46,59,57,46,45,65,47,49,55,80,51,47,52,73,51
Diploma in Event Management,Event Planning & Management,45,89,91,64,61.0,98,41,42,45,47,59,91,41,51,56,57,46,59,48,61,41
Diploma in Digital Marketing,Marketing & Online Branding,42,80,80,52,90.0,77,41,92,58,46,58,79,59,56,57,44,59,50,46,72,53
Diploma in Graphic Designing,Design & Visual Communication,89,80,63,43,78.0,49,43,99,59,56,41,44,44,58,48,47,54,41,77,81,42
Diploma in Travel & Tourism Management,Tourism & Service Industry,47,54,93,89,97.0,96,50,44,45,47,57,64,41,53,42,77,60,57,48,74,60
Diploma in Paramedical Sciences,Healthcare & Allied Services,60,59,61,81,,76,80,60,41,44,44,46,44,59,44,54,88,89,47,78,59
Diploma in Fashion Designing,"Fashion, Creativity & Design",98,86,84,65,76.0,66,56,60,50,54,53,48,40,54,40,57,48,44,55,94,55
Diploma in Graphic Designing,Design & Visual Communication,95,93,67,43,74.0,52,60,98,50,48,60,47,42,40,40,57,43,47,76,87,56
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,47,42,69,53,80.0,57,44,99,49,58,47,57,57,47,43,48,51,58,92,67,87
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,56,54,61,40,68.0,57,54,96,54,48,58,45,49,57,58,55,53,47,94,75,83
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,46,93,88,88,60.0,67,82,48,60,43,55,74,53,60,59,49,42,40,55,51,58
Diploma in Retail Management,Retail & Sales Operations,47,51,92,100,94.0,67,79,60,52,43,56,95,48,48,45,44,49,60,46,70,44
Diploma in Interior Designing,Interior Design & Architecture,97,95,85,60,67.0,62,56,40,50,49,43,55,54,40,44,52,56,50,60,88,53
Diploma in Graphic Designing,Design & Visual Communication,92,94,75,41,75.0,51,51,87,60,46,44,53,57,42,40,47,49,50,65,95,40
Diploma in Photography,Photography & Visual Arts,96,99,90,53,71.0,75,54,80,48,48,60,45,52,50,49,45,56,54,47,99,40
Diploma in Graphic Designing,Design & Visual Communication,97,91,67,59,64.0,52,48,96,53,41,56,52,55,54,53,55,45,44,71,95,44
Diploma in Journalism & Mass Communication,Media & Communication,58,64,97,47,99.0,99,59,50,53,40,43,53,43,66,41,41,47,60,62,89,48
Diploma in Event Management,Event Planning & Management,54,84,80,68,64.0,96,58,41,53,46,58,86,40,42,53,51,47,56,46,65,49
Diploma in Event Management,Event Planning & Management,42,98,98,66,72.0,81,55,41,60,47,49,95,43,46,60,52,45,52,53,71,41
Diploma in Travel & Tourism Management,Tourism & Service Industry,49,51,83,82,88.0,92,44,60,54,59,42,68,44,43,47,71,43,50,40,76,58
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,52,98,81,93,69.0,63,100,50,52,45,52,70,40,54,54,41,54,53,58,40,40
Diploma in Hotel Management,Hospitality & Service Management,53,49,87,85,87.0,91,62,54,59,54,54,67,42,72,40,40,48,53,49,78,43
Diploma in Journalism & Mass Communication,Media & Communication,54,61,81,58,88.0,92,56,40,52,48,46,50,44,66,58,56,59,48,80,83,57
Diploma in Paramedical Sciences,Healthcare & Allied Services,55,40,73,93,,79,95,56,42,60,59,41,40,60,49,57,97,98,47,61,54
Diploma in Photography,Photography & Visual Arts,88,84,97,49,71.0,60,57,76,47,50,40,59,60,52,44,58,60,44,51,80,42
Diploma in Graphic Designing,Design & Visual Communication,93,80,79,45,74.0,47,44,86,56,44,42,54,42,42,56,55,59,52,74,90,54
Diploma in Digital Marketing,Marketing & Online Branding,49,99,99,57,83.0,61,59,81,55,53,50,80,58,56,52,43,59,43,56,74,43
Diploma in Event Management,Event Planning & Management,50,94,93,78,76.0,93,41,54,52,43,54,90,60,58,58,49,44,42,51,64,50
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,50,86,87,95,67.0,67,95,46,52,52,56,79,47,40,46,43,57,48,56,54,57
Diploma in Fashion Designing,"Fashion, Creativity & Design",94,88,87,72,67.0,76,47,41,51,44,45,47,48,42,40,57,60,48,41,84,52
Diploma in Digital Marketing,Marketing & Online Branding,58,85,97,42,82.0,61,59,85,53,40,47,72,49,54,41,40,48,52,43,64,42
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,85,94,83,89,62.0,69,69,45,51,42,49,41,50,50,51,57,47,41,48,59,53
Diploma in Hotel Management,Hospitality & Service Management,49,44,86,96,98.0,87,79,60,51,55,42,63,43,65,56,43,42,42,55,71,46
Diploma in Graphic Designing,Design & Visual Communication,99,87,68,40,78.0,43,41,93,44,46,52,54,56,51,54,57,47,56,74,93,50
Diploma in Paramedical Sciences,Healthcare & Allied Services,52,40,80,91,,60,91,54,48,46,56,59,54,45,41,46,90,90,51,79,51
Diploma in Paramedical Sciences,Healthcare & Allied Services,58,42,73,80,,64,80,60,48,56,54,56,58,44,54,43,98,96,54,70,42
Diploma in Graphic Designing,Design & Visual Communication,89,81,80,55,71.0,57,60,95,48,44,45,51,48,52,41,47,41,52,66,81,42
Diploma in Digital Marketing,Marketing & Online Branding,50,86,100,60,80.0,77,44,82,47,55,53,75,45,59,48,58,42,40,45,68,42
Diploma in Retail Management,Retail & Sales Operations,44,56,94,89,100.0,70,76,55,49,50,56,98,42,46,46,55,55,50,58,77,45
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",94,84,63,54,80.0,45,53,97,60,50,60,46,41,42,52,46,45,46,67,100,43
Diploma in Paramedical Sciences,Healthcare & Allied Services,46,43,77,93,,67,94,59,45,40,58,42,50,49,49,50,100,81,41,80,56
Diploma in Digital Marketing,Marketing & Online Branding,44,86,80,50,95.0,74,53,94,53,55,48,72,57,51,59,58,51,50,46,60,57
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,82,96,90,86,72.0,69,72,48,55,43,46,60,48,51,49,56,48,52,41,41,40
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,54,40,69,56,79.0,45,40,81,41,56,55,58,57,59,57,56,60,60,88,68,92
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,60,58,64,58,68.0,41,40,97,43,60,46,60,43,54,45,41,52,50,98,71,98
Diploma in Digital Marketing,Marketing & Online Branding,42,92,95,55,80.0,73,43,84,45,50,43,79,48,47,45,58,55,52,57,68,43
Diploma in Interior Designing,Interior Design & Architecture,100,95,83,40,66.0,80,49,40,50,46,47,43,57,56,41,50,44,52,61,94,56
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,44,48,80,43,74.0,53,54,80,56,54,47,46,49,53,48,56,40,56,80,63,95
Diploma in Event Management,Event Planning & Management,56,97,90,80,63.0,98,42,54,50,58,59,90,46,60,59,51,46,42,41,70,55
Diploma in Photography,Photography & Visual Arts,91,87,99,43,63.0,80,52,70,46,48,58,51,55,41,58,44,55,43,54,82,44
Diploma in Retail Management,Retail & Sales Operations,42,54,89,87,83.0,80,70,56,60,43,58,97,52,46,53,57,43,40,45,60,50
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,46,51,80,50,61.0,49,46,84,43,42,50,49,47,60,60,52,56,55,82,80,95
Diploma in Graphic Designing,Design & Visual Communication,96,80,77,48,64.0,45,50,89,50,57,51,54,59,56,49,57,55,59,73,97,58
Diploma in Hotel Management,Hospitality & Service Management,58,57,92,81,81.0,82,75,53,51,59,47,71,54,70,45,51,49,44,49,63,57
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,50,45,77,48,74.0,58,41,85,55,57,44,52,54,54,48,51,56,44,90,60,98
Diploma in Paramedical Sciences,Healthcare & Allied Services,43,59,80,97,,64,90,46,60,46,58,53,58,59,54,51,99,91,54,67,59
Diploma in Photography,Photography & Visual Arts,100,81,80,41,71.0,68,60,77,43,45,41,49,60,44,50,44,48,53,47,92,58
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,52,60,63,53,71.0,44,44,93,41,60,58,43,58,57,54,59,55,50,87,64,81
Diploma in Event Management,Event Planning & Management,50,88,97,63,70.0,98,55,43,57,54,43,88,52,42,47,49,57,58,49,62,48
Diploma in Digital Marketing,Marketing & Online Branding,59,97,82,54,81.0,69,60,98,49,44,58,61,58,46,46,48,52,54,43,63,44
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,55,46,68,49,79.0,60,45,80,41,47,46,47,40,59,54,43,48,46,100,63,92
Diploma in Graphic Designing,Design & Visual Communication,99,85,79,42,69.0,43,53,98,48,46,43,44,48,57,51,54,40,50,77,84,60
Diploma in Interior Designing,Interior Design & Architecture,97,97,95,59,69.0,77,53,60,57,49,57,56,54,45,49,46,48,45,73,84,48
Diploma in Hotel Management,Hospitality & Service Management,50,58,83,92,93.0,80,72,53,56,46,41,62,55,62,50,42,44,41,40,73,40
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,43,44,76,55,61.0,43,47,83,41,56,44,43,51,47,45,41,50,47,85,72,85
Diploma in Hotel Management,Hospitality & Service Management,45,57,90,88,96.0,95,78,52,58,46,56,71,43,75,45,51,53,57,47,70,57
Diploma in Retail Management,Retail & Sales Operations,54,50,96,83,99.0,66,64,46,53,41,54,95,54,53,53,53,50,41,51,60,49
Diploma in Travel & Tourism Management,Tourism & Service Industry,48,46,91,100,86.0,98,48,40,49,48,58,70,45,43,40,61,41,44,41,72,53
Diploma in Interior Designing,Interior Design & Architecture,82,90,89,57,77.0,80,48,54,56,47,59,45,49,58,60,44,43,50,71,85,57
Diploma in Photography,Photography & Visual Arts,91,87,96,57,62.0,61,48,68,47,56,41,42,40,46,43,45,59,47,51,83,43
Diploma in Event Management,Event Planning & Management,44,95,84,73,75.0,91,44,42,58,43,41,80,52,53,48,50,58,45,57,63,57
Diploma in Retail Management,Retail & Sales Operations,48,53,91,88,100.0,72,62,46,46,42,41,88,51,41,60,57,44,58,56,68,60
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,96,99,89,84,68.0,61,65,53,59,44,53,41,40,45,55,43,56,53,48,51,41
Diploma in Hotel Management,Hospitality & Service Management,46,53,98,88,83.0,94,75,51,44,42,54,61,44,80,53,44,53,40,40,71,42
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,52,84,91,80,60.0,77,84,59,41,52,48,72,57,47,55,54,52,58,48,44,57
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",96,94,76,53,78.0,54,55,97,54,53,59,47,52,42,58,51,41,47,61,92,53
Diploma in Digital Marketing,Marketing & Online Branding,46,94,81,57,99.0,71,59,80,48,43,42,70,42,40,46,58,58,51,56,79,59
Diploma in Retail Management,Retail & Sales Operations,55,55,80,100,88.0,69,72,59,42,40,51,82,53,44,43,53,55,45,47,80,48
Diploma in Journalism & Mass Communication,Media & Communication,60,78,92,55,94.0,94,41,55,58,56,51,46,42,70,47,45,44,40,74,82,60
Diploma in Paramedical Sciences,Healthcare & Allied Services,51,53,65,82,,60,93,42,54,44,47,56,45,50,48,43,96,83,42,77,56
Diploma in Digital Marketing,Marketing & Online Branding,53,84,92,48,95.0,67,47,100,58,48,57,78,50,42,58,48,49,51,53,64,41
Diploma in Retail Management,Retail & Sales Operations,60,55,86,98,85.0,77,69,44,56,54,51,91,53,45,42,48,56,56,46,67,47
Diploma in Interior Designing,Interior Design & Architecture,87,86,98,53,64.0,70,60,41,48,47,43,53,47,42,41,48,48,49,80,80,41
Diploma in Paramedical Sciences,Healthcare & Allied Services,47,50,80,89,,61,92,60,53,51,42,51,46,49,48,44,98,82,43,61,44
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,86,100,92,81,61.0,72,71,48,53,52,55,51,57,53,60,59,43,56,50,44,43
Diploma in Travel & Tourism Management,Tourism & Service Industry,58,49,95,81,97.0,100,55,47,48,51,43,73,54,52,60,75,56,41,46,76,48
Diploma in Journalism & Mass Communication,Media & Communication,51,68,81,60,82.0,82,60,50,51,42,47,42,49,60,43,43,59,41,60,93,49
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,80,94,100,84,68.0,63,80,40,47,58,59,51,58,58,43,49,60,58,40,54,59
Diploma in Graphic Designing,Design & Visual Communication,80,84,63,51,65.0,44,40,89,58,51,55,48,52,53,50,47,57,60,71,87,54
Diploma in Digital Marketing,Marketing & Online Branding,55,94,83,41,99.0,60,47,86,51,54,49,69,59,41,52,54,49,52,43,73,51
Diploma in Photography,Photography & Visual Arts,81,97,100,44,80.0,70,54,71,46,57,59,40,42,46,52,41,46,59,49,93,43
Diploma in Photography,Photography & Visual Arts,92,93,80,56,71.0,75,56,67,45,57,49,58,45,57,56,43,52,41,55,89,60
Diploma in Travel & Tourism Management,Tourism & Service Industry,46,41,98,81,92.0,100,41,59,55,47,60,78,49,46,49,61,56,54,53,64,47
Diploma in Graphic Designing,Design & Visual Communication,80,89,74,57,64.0,42,49,97,58,43,45,41,51,57,55,46,41,51,60,92,46
Diploma in Event Management,Event Planning & Management,48,91,84,62,72.0,90,42,47,54,52,42,80,41,57,47,47,59,60,49,64,43
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,86,89,87,96,62.0,62,65,46,60,58,43,47,54,59,56,53,44,52,54,51,52
Diploma in Fashion Designing,"Fashion, Creativity & Design",97,88,89,77,70.0,76,56,48,42,59,60,55,50,48,55,45,54,60,58,95,43
Diploma in Interior Designing,Interior Design & Architecture,86,82,97,58,74.0,70,52,58,57,43,51,54,50,48,55,47,43,41,69,85,44
Diploma in Paramedical Sciences,Healthcare & Allied Services,40,41,73,80,,80,84,53,49,41,54,54,47,52,49,47,86,81,44,73,56
Diploma in Travel & Tourism Management,Tourism & Service Industry,46,53,92,81,84.0,93,47,51,48,58,53,75,45,50,56,75,55,42,42,65,54
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,57,56,61,59,63.0,56,53,83,49,50,49,47,48,41,51,54,60,42,82,70,99
Diploma in Retail Management,Retail & Sales Operations,49,57,99,89,89.0,74,64,45,52,55,43,97,46,57,53,43,57,49,60,66,40
Diploma in Graphic Designing,Design & Visual Communication,98,91,70,48,62.0,42,46,83,54,40,55,50,45,49,46,50,57,41,61,84,40
Diploma in Paramedical Sciences,Healthcare & Allied Services,50,59,62,88,,68,82,43,53,44,42,60,55,49,42,56,90,87,47,78,40
Diploma in Photography,Photography & Visual Arts,93,93,100,49,72.0,72,54,78,56,53,53,52,60,50,44,53,41,59,47,96,59
Diploma in Paramedical Sciences,Healthcare & Allied Services,58,41,68,96,,71,84,43,56,53,58,47,58,60,55,60,90,88,57,63,52
Diploma in Graphic Designing,Design & Visual Communication,80,95,66,49,70.0,45,47,86,55,55,59,57,49,50,52,41,56,55,80,94,44
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,46,98,96,82,61.0,67,100,47,40,47,50,74,40,58,42,52,58,49,49,60,53
Diploma in Graphic Designing,Design & Visual Communication,91,82,61,60,71.0,41,58,93,53,47,47,41,40,57,46,53,44,57,74,91,42
Diploma in Digital Marketing,Marketing & Online Branding,41,92,93,52,84.0,64,43,100,55,48,50,60,53,52,42,50,54,53,40,70,50
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,89,87,96,91,65.0,64,79,46,54,48,40,45,55,42,47,59,51,52,44,52,51
Diploma in Hotel Management,Hospitality & Service Management,48,49,89,83,100.0,84,71,55,42,56,44,76,42,79,45,40,44,42,55,64,46
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,53,82,89,100,78.0,66,87,53,53,46,42,71,45,59,52,40,49,56,43,40,59
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,60,80,82,88,64.0,79,90,59,59,55,47,80,50,46,42,41,43,44,47,40,42
Diploma in Graphic Designing,Design & Visual Communication,96,85,72,46,70.0,55,51,82,47,51,50,56,52,55,53,57,51,43,70,97,48
Diploma in Event Management,Event Planning & Management,60,100,82,71,60.0,95,56,42,57,53,59,80,48,45,50,42,58,42,44,80,43
Diploma in Photography,Photography & Visual Arts,87,83,85,57,79.0,73,47,74,56,57,51,56,50,49,54,60,60,54,51,85,53
Diploma in Event Management,Event Planning & Management,50,88,83,79,74.0,92,45,46,49,57,44,100,45,60,57,58,49,48,44,61,56
Diploma in Event Management,Event Planning & Management,53,81,87,80,78.0,91,44,55,43,52,52,96,50,58,55,42,59,43,41,65,53
Diploma in Digital Marketing,Marketing & Online Branding,44,96,93,47,86.0,69,53,88,47,45,43,74,57,56,45,42,40,56,52,65,46
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",95,84,77,50,61.0,53,50,84,55,44,57,42,44,41,44,56,56,60,72,85,47
Diploma in Retail Management,Retail & Sales Operations,48,52,86,93,100.0,67,62,48,50,41,40,80,53,45,56,52,54,44,56,66,49
Diploma in Photography,Photography & Visual Arts,86,97,97,40,80.0,69,45,75,40,50,59,40,41,49,45,40,46,46,52,90,54
Diploma in Event Management,Event Planning & Management,55,92,87,61,66.0,91,44,46,46,56,45,100,46,44,48,49,43,46,53,63,43
Diploma in Graphic Designing,Design & Visual Communication,82,84,60,59,71.0,49,54,80,53,46,51,60,40,41,54,51,42,54,75,84,40
Diploma in Digital Marketing,Marketing & Online Branding,42,89,85,56,99.0,79,42,85,57,53,41,73,58,49,41,44,43,46,44,74,56
Diploma in Digital Marketing,Marketing & Online Branding,43,89,93,58,94.0,61,42,88,49,57,42,74,54,59,52,57,50,43,48,77,43
Diploma in Fashion Designing,"Fashion, Creativity & Design",97,82,85,61,74.0,62,47,50,42,56,53,52,57,50,48,53,46,45,57,94,42
Diploma in Graphic Designing,Design & Visual Communication,89,100,63,57,70.0,51,52,85,53,45,52,47,57,57,58,48,42,53,62,80,56
Diploma in Journalism & Mass Communication,Media & Communication,48,80,84,54,81.0,84,56,56,53,48,54,51,44,75,59,55,55,46,62,88,40
Diploma in Culinary Arts (Hotel Catering),Culinary Skills & Hospitality,43,100,98,94,62.0,61,91,45,58,55,44,80,48,55,55,58,47,48,40,55,55
Diploma in Journalism & Mass Communication,Media & Communication,51,70,91,48,83.0,99,44,54,40,47,40,45,41,61,50,53,55,50,79,97,48
Diploma in Retail Management,Retail & Sales Operations,59,57,84,92,97.0,62,76,41,54,45,46,93,57,43,41,44,49,42,44,80,60
Diploma in Graphic Designing,Design & Visual Communication,85,99,80,45,79.0,51,46,93,57,53,42,58,46,43,49,57,58,53,72,80,43
Diploma in Journalism & Mass Communication,Media & Communication,45,69,82,45,86.0,86,53,52,59,57,44,44,56,78,48,47,49,43,77,90,40
Diploma in Hotel Management,Hospitality & Service Management,53,51,80,91,98.0,89,62,50,60,53,47,62,55,63,59,54,49,48,54,64,52
Diploma in Travel & Tourism Management,Tourism & Service Industry,57,55,99,85,86.0,98,41,59,47,42,40,69,47,53,47,64,53,51,52,68,42
Diploma in Graphic Designing,Design & Visual Communication,85,84,70,42,61.0,55,52,92,59,49,51,51,52,60,44,55,53,54,60,96,50
Diploma in Fashion Designing,"Fashion, Creativity & Design",99,85,91,70,71.0,63,50,45,44,52,50,49,49,45,56,46,53,53,55,80,50
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,55,59,74,57,68.0,42,53,87,55,56,56,43,58,56,43,57,58,42,95,63,82
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",94,90,72,51,60.0,52,49,87,46,53,57,60,52,53,57,57,49,58,76,83,50
Diploma in Photography,Photography & Visual Arts,85,91,95,47,72.0,63,52,61,52,54,43,58,49,42,56,52,56,55,50,98,54
Diploma in Hotel Management,Hospitality & Service Management,58,45,89,82,91.0,86,66,43,54,43,52,65,59,71,60,59,57,41,52,72,58
Diploma in Paramedical Sciences,Healthcare & Allied Services,51,46,68,97,,65,95,43,44,42,43,51,53,49,53,51,88,85,40,75,54
Diploma in Hotel Management,Hospitality & Service Management,50,60,91,85,89.0,98,64,54,50,54,48,72,42,79,56,45,59,57,57,74,60
Diploma in Event Management,Event Planning & Management,49,97,82,67,61.0,93,58,53,50,58,44,95,50,55,50,45,51,53,57,63,48
Diploma in Digital Marketing,Marketing & Online Branding,46,85,84,49,95.0,73,44,97,58,42,50,60,44,55,51,53,54,45,51,68,53
Diploma in Performing Arts (Dance/Theatre),Performing Arts & Entertainment,94,83,93,96,73.0,69,67,45,59,41,52,60,49,48,51,57,54,58,48,53,54
Diploma in Travel & Tourism Management,Tourism & Service Industry,45,48,97,89,98.0,86,55,45,40,60,57,60,60,55,54,79,42,57,46,65,44
Diploma in Interior Designing,Interior Design & Architecture,84,94,81,53,78.0,74,48,43,57,47,51,53,41,45,55,41,57,56,65,87,46
Diploma in Animation & Multimedia,"Animation, VFX & Multimedia",82,87,63,41,73.0,43,48,93,50,53,52,52,42,46,43,50,52,55,70,89,54
Diploma in Computer Applications (DCA),Computer Skills & IT Basics,45,60,73,60,80.0,47,45,83,52,47,51,53,51,41,56,55,48,60,100,71,91
Diploma in Hotel Management,Hospitality & Service Management,47,48,80,99,88.0,96,75,48,60,40,52,69,60,80,60,46,40,53,40,63,41
